YEAR,TOTAL CUSTOMER NUMBER,NUMBER OF METERED CUSTOMER,NUMBER OF ESTIMATED CUSTOMERS,REVENUE COLLECTED(MILLION NAIRA),ELECTRICITY SUPPLIED(GWH)
2015 JAN,"6,251,492","2,754,660","3,496,832","22,062.48"," 1,732 "
FEB,"6,626,486","2,762,105","3,864,381","22,543.34"," 1,699 "
MAR,"6,429,825","2,829,048","3,600,777","22,791.60"," 1,523 "
APR,"6,471,290","2,989,280","3,482,010","22,368.51"," 1,588 "
MAY,"6,476,723","2,986,260","3,489,463","18,971.05"," 1,393 "
JUN,"6,623,375","3,032,097","3,491,278","20,719.01"," 1,190 "
JUL,"6,692,692","3,047,276","3,545,416","24,073.72"," 1,570 "
AUG,"6,778,605","3,094,245","3,684,360","23,999.70"," 1,840 "
SEP,"6,786,722","3,087,372","3,699,350","24,499.85"," 1,961 "
OCT,"6,940,218","3,113,127","3,827,091","25,774.90"," 1,950 "
NOV,"6,966,075","3,101,218","3,864,857","24,345.36"," 1,941 "
DEC,"6,992,879","3,147,433","3,845,446","26,742.50"," 1,951 "
2016 JAN,"6,806,933","3,105,772","3,701,161","25,365.55"," 2,019 "
FEB,"6,943,838","3,124,138","3,819,700","25,655.86"," 2,026 "
MAR,"7,009,712","3,299,623","3,710,089","26,583.65"," 1,860 "
APR,"6,800,447","3,097,118","3,703,329","25,225.24"," 1,729 "
MAY,"7,007,487","3,021,608","3,985,879","22,567.74"," 1,504 "
JUN,"7,178,528","3,073,919","4,104,609","21,100.46"," 1,245 "
JUL,"7,187,954","3,021,875","4,166,079","21,283.96"," 1,060 "
AUG,"7,425,817","3,011,465","4,414,352","25,878.87"," 1,311 "
SEP,"7,509,404","3,175,735","4,333,669","26,748.95"," 1,509 "
OCT,"7,566,418","3,205,505","4,360,913","27,183.24"," 1,554 "
NOV,"7,676,660","3,257,526","4,419,134","27,409.44"," 1,655 "
DEC,"7,348,779","3,154,694","4,194,085","28,026.62"," 1,574 "
2017 JAN,"7,397,003","3,294,511","4,102,492","26,672.85"," 1,519 "
FEB,"7,467,334","3,297,177","4,170,157","27,373.88"," 1,414 "
MAR,"7,550,860","3,318,500","4,232,360","32,044.49"," 1,587 "
APR,"7,540,141","3,309,517","4,230,624","30,057.44"," 1,775 "
MAY," 7,599,189 "," 3,344,788 "," 4,254,401 ","31,586.81"," 1,602 "
JUN," 7,640,712 "," 3,354,586 "," 4,286,126 ","31,235.08"," 1,631 "
JUL," 7,645,643 "," 3,369,827 "," 4,275,816 ","29,780.57"," 1,557 "
AUG," 7,680,084 "," 3,433,718 "," 4,246,366 ","31,259.51"," 1,604 "
SEP," 7,743,073 "," 3,438,713 "," 4,304,360 ","29,258.16"," 1,607 "
OCT," 7,822,316 "," 3,466,913 "," 4,355,403 ","31,884.05"," 1,619 "
NOV," 7,879,322 "," 3,526,162 "," 4,353,160 ","33,551.86"," 1,733 "
DEC," 7,947,121 "," 3,573,657 "," 4,373,464 ","35,751.13"," 1,783 "
2018 JAN," 8,081,271 "," 3,603,898 "," 4,477,373 "," 34,803.67 "," 1,922 "
FEB," 8,152,590 "," 3,636,923 "," 4,515,667 "," 34,626.18 "," 1,791 "
MAR," 8,188,105 "," 3,673,127 "," 4,514,978 "," 37,204.92 "," 1,720 "
APR," 8,213,959 "," 3,450,992 "," 4,762,967 "," 37,610.46 "," 1,876 "
MAY," 8,191,560 "," 3,677,582 "," 4,513,978 "," 38,569.05 "," 1,876 "
JUN," 8,479,159 "," 3,602,662 "," 4,876,497 "," 35,288.98 "," 1,749 "
JUL," 8,491,580 "," 3,641,685 "," 4,849,895 "," 36,150.21 "," 1,645 "
AUG," 8,419,217 "," 3,658,289 "," 4,760,928 "," 36,904.79 "," 1,738 "
SEP," 7,989,431 "," 3,511,603 "," 4,477,828 "," 33,934.67 "," 1,776 "
OCT," 8,542,656 "," 3,535,365 "," 5,007,291 "," 38,771.42 "," 1,706 "
NOV," 8,590,763 "," 3,548,268 "," 5,042,495 "," 38,458.57 "," 1,824 "
DEC," 8,630,540 "," 3,583,397 "," 5,047,143 "," 40,307.17 "," 1,860 "
2019 JAN," 8,714,466 "," 3,591,292 "," 5,123,174 "," 38,838.75 "," 2,002 "
FEB," 8,724,011 "," 3,590,066 "," 5,133,945 "," 37,794.76 "," 1,909 "
MAR," 8,869,111 "," 3,592,101 "," 5,277,010 "," 40,271.40 "," 1,852 "
